category,count
eess.AS,5400
stat.ML,2218
q-bio.NC,235
stat.AP,223
physics.soc-ph,202
q-bio.QM,158
eess.SP,142
eess.IV,141
stat.ME,119
quant-ph,116
econ.GN,112
q-bio.BM,84
eess.SY,75
q-fin.CP,75
cond-mat.mtrl-sci,74
q-fin.ST,74
math.OC,65
math.LO,44
q-bio.GN,43
q-fin.GN,40
cond-mat.stat-mech,39
math.ST,35
cond-mat.dis-nn,31
physics.chem-ph,31
astro-ph.IM,30
math.CT,29
math.NA,26
q-fin.TR,25
stat.CO,24
physics.data-an,23
econ.EM,19
q-bio.PE,19
math.AT,19
q-bio.OT,18
physics.comp-ph,17
q-fin.RM,17
math.DS,16
math.HO,16
nlin.AO,16
math.CO,15
physics.ed-ph,14
physics.med-ph,14
math.PR,13
hep-th,12
stat.OT,12
physics.hist-ph,12
q-fin.PM,11
math.RA,10
math-ph,9
econ.TH,8
math.QA,8
physics.ao-ph,8
cond-mat.mes-hall,7
cond-mat.soft,7
physics.bio-ph,6
math.SP,6
q-bio.MN,6
astro-ph.GA,6
physics.geo-ph,5
q-bio.CB,5
physics.app-ph,5
hep-ex,5
physics.acc-ph,4
physics.optics,4
nlin.CD,4
hep-ph,4
math.DG,3
math.NT,3
astro-ph.SR,3
math.GN,3
cond-mat.supr-con,3
nlin.CG,3
math.GR,3
cond-mat.other,2
q-fin.PR,2
math.MG,2
astro-ph.CO,2
astro-ph.HE,2
physics.pop-ph,2
gr-qc,2
cond-mat.str-el,2
q-bio.TO,1
physics.flu-dyn,1
physics.atom-ph,1
math.AG,1
math.AC,1
astro-ph.EP,1
q-fin.MF,1
math.AP,1
math.SG,1
physics.ins-det,1
nlin.PS,1
math.RT,1
hep-lat,1
