,2017Q2,2017Q3,2017Q4,2018Q1,2018Q2,2018Q3,2018Q4,2019Q1,2019Q2,2019Q3,2019Q4,2020Q1,2020Q2,2020Q3,2020Q4,2021Q1,2021Q2,2021Q3,2021Q4,2022Q1,2022Q2,2022Q3,2022Q4,2023Q1,2023Q2,2023Q3,2023Q4,2024Q1,2024Q2,2024Q3,2024Q4,2025Q1,2025Q2,2025Q3,2025Q4,2026Q1,2026Q2
text,7,51,54,43,81,85,90,71,137,137,135,91,191,119,241,141,194,207,193,169,220,140,328,197,380,253,326,347,364,292,352,327,336,302,285,224,27
generation,7,21,18,17,42,68,40,44,92,92,108,55,161,79,158,86,143,128,125,111,152,88,233,124,250,156,276,282,379,296,409,425,451,362,341,266,39
llms,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,5,70,102,197,352,459,378,537,579,787,588,565,503,56
reasoning,0,7,3,5,10,5,13,11,23,31,25,8,42,14,44,20,54,37,35,32,46,27,100,41,143,75,191,219,250,169,313,448,835,551,617,648,75
llm,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,54,77,139,271,399,324,523,598,725,580,632,663,97
knowledge,4,17,16,20,39,41,36,36,59,80,96,53,107,79,156,69,127,129,115,89,139,81,192,112,245,163,254,277,296,231,270,281,371,230,220,206,23
speech,4,37,44,48,59,53,68,31,88,70,109,58,134,68,141,108,148,108,146,148,154,87,225,116,232,174,152,154,228,209,176,139,286,233,165,168,19
detection,2,23,14,22,35,35,38,25,56,63,54,43,87,68,94,93,131,97,85,85,128,74,142,87,160,123,174,204,208,160,201,217,257,249,191,165,22
translation,11,58,44,29,85,88,64,44,88,108,120,47,150,59,144,68,151,126,75,80,112,54,156,75,209,89,148,143,128,121,141,112,153,107,121,121,9
machine,13,59,49,31,87,82,67,48,84,113,114,54,146,65,131,75,137,100,80,80,88,62,117,82,153,79,118,131,119,85,115,96,107,81,71,89,5
context,2,9,14,6,25,27,21,21,40,26,35,16,36,20,49,31,57,33,29,25,34,28,73,55,126,76,165,166,209,173,242,232,253,192,203,217,28
question,3,22,24,28,37,50,26,28,68,76,80,28,95,46,83,50,92,91,81,67,94,57,116,45,134,77,133,151,145,113,139,129,147,152,104,115,11
recognition,4,36,35,30,53,39,68,24,71,75,92,65,94,46,105,70,97,91,97,97,98,73,129,86,150,114,100,106,126,110,79,81,117,97,69,77,11
retrieval,2,5,7,5,13,12,9,5,19,20,20,11,31,25,24,26,43,32,33,45,51,39,91,43,102,69,115,147,212,185,241,254,279,233,230,195,28
multimodal,0,11,9,9,19,19,15,8,21,21,18,15,25,20,32,27,32,40,41,33,46,30,62,51,98,78,108,172,209,160,229,222,306,222,202,169,20
classification,3,32,25,27,57,56,40,48,53,64,60,55,65,55,90,59,83,97,74,71,95,56,112,65,135,94,119,103,111,104,119,84,112,91,76,68,14
dataset,1,11,6,10,14,16,19,10,21,29,40,22,68,34,84,40,67,75,67,72,98,52,87,53,161,79,110,145,175,107,158,153,200,121,125,130,9
multilingual,1,7,10,8,23,25,19,10,22,23,34,19,63,29,79,52,73,70,57,48,93,45,120,65,156,54,95,131,134,106,150,149,201,151,157,159,16
understanding,0,8,7,7,16,24,25,12,35,45,32,28,45,37,73,36,74,46,46,45,86,48,93,41,122,65,105,126,160,102,128,160,197,156,134,109,13
answering,2,21,15,24,27,39,26,24,55,67,63,22,79,42,65,40,78,80,69,55,77,46,96,42,119,74,113,125,119,94,116,107,127,128,87,100,10
domain,3,18,12,10,30,28,30,14,60,52,60,33,84,45,95,58,81,77,72,58,74,47,121,54,133,86,95,109,126,106,111,84,125,87,86,89,12
self,0,8,7,5,17,9,12,12,29,43,27,22,55,21,60,37,57,45,52,42,64,28,91,39,110,71,116,128,147,94,152,150,174,155,138,158,20
extraction,2,24,16,25,35,31,38,25,55,47,52,24,84,47,90,53,94,83,79,49,83,62,91,57,141,70,111,101,125,92,76,77,84,78,77,80,10
semantic,4,30,29,19,71,60,40,21,53,76,69,32,64,52,98,39,85,53,53,51,57,45,79,55,101,69,66,96,90,53,83,92,102,114,113,131,13
question answering,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
graph,2,8,5,5,21,29,18,16,42,44,48,33,60,54,92,48,94,65,70,61,75,45,80,60,103,70,110,111,102,91,116,113,133,113,97,96,12
cross,3,17,7,12,29,28,32,11,42,47,46,29,77,35,90,37,83,75,54,52,77,40,95,61,140,50,83,86,128,90,91,115,112,111,111,120,19
aware,1,11,10,10,21,21,11,21,26,38,27,18,46,24,59,23,48,54,50,42,51,32,67,49,93,41,73,98,94,71,113,142,184,178,184,241,30
natural,7,27,20,18,38,34,38,27,57,67,62,31,85,42,95,56,75,76,80,84,91,62,102,61,129,68,90,83,98,61,83,76,75,56,59,49,5
ai,0,1,0,1,0,2,1,1,7,4,8,4,9,7,16,5,11,17,24,20,24,11,22,40,76,71,102,118,148,126,157,209,234,239,229,192,29
