cluster_id,rank_in_cluster,id,title,publish_date,categories,top_conference,distance_to_centroid,url
0,1,1903.10915v1,Language Model Adaptation for Language and Dialect Identification of Text,2019-03-26,cs.CL,,0.03764130175113678,http://arxiv.org/abs/1903.10915v1
0,2,1711.06288v2,Language-Based Image Editing with Recurrent Attentive Models,2017-11-17,"cs.CV, cs.CL, cs.LG",CVPR 2018,0.043621111661195755,http://arxiv.org/abs/1711.06288v2
0,3,1907.01369v2,Analyzing Verbal and Nonverbal Features for Predicting Group Performance,2019-06-27,"eess.AS, cs.CL, cs.LG, cs.SD",,0.0437445342540741,http://arxiv.org/abs/1907.01369v2
0,4,1808.02939v1,Towards Learning Fine-Grained Disentangled Representations from Speech,2018-08-09,"cs.SD, cs.CL, cs.LG, eess.AS",,0.0451977364718914,http://arxiv.org/abs/1808.02939v1
0,5,2002.12804v1,UniLMv2: Pseudo-Masked Language Models for Unified Language Model Pre-Training,2020-02-28,cs.CL,,0.050664566457271576,http://arxiv.org/abs/2002.12804v1
0,6,2003.03204v2,Is POS Tagging Necessary or Even Helpful for Neural Dependency Parsing?,2020-03-06,"cs.CL, cs.LG",,0.05078423023223877,http://arxiv.org/abs/2003.03204v2
0,7,1907.05955v3,PyKaldi2: Yet another speech toolkit based on Kaldi and PyTorch,2019-07-13,"cs.CL, eess.AS",,0.05103365331888199,http://arxiv.org/abs/1907.05955v3
0,8,2005.08946v1,Arabic Offensive Language Detection Using Machine Learning and Ensemble Machine Learning Approaches,2020-05-16,cs.CL,,0.051430173218250275,http://arxiv.org/abs/2005.08946v1
1,1,2006.03776v1,MAGNet: Multi-Region Attention-Assisted Grounding of Natural Language Queries at Phrase Level,2020-06-06,"cs.CV, cs.CL, cs.LG",,0.03358712047338486,http://arxiv.org/abs/2006.03776v1
1,2,2006.10276v1,Octet: Online Catalog Taxonomy Enrichment with Self-Supervision,2020-06-18,cs.CL,,0.03437052294611931,http://arxiv.org/abs/2006.10276v1
1,3,1805.04270v1,Neural Open Information Extraction,2018-05-11,cs.CL,,0.03856915235519409,http://arxiv.org/abs/1805.04270v1
1,4,1802.10229v2,Collective Entity Disambiguation with Structured Gradient Tree Boosting,2018-02-28,cs.CL,NAACL 2018,0.04070281982421875,http://arxiv.org/abs/1802.10229v2
1,5,1911.06311v3,Sato: Contextual Semantic Type Detection in Tables,2019-11-15,"cs.DB, cs.CL, cs.LG",,0.04184122756123543,http://arxiv.org/abs/1911.06311v3
1,6,1812.07248v3,"Attend, Copy, Parse -- End-to-end information extraction from documents",2018-12-18,"cs.CL, cs.NE",,0.04461381584405899,http://arxiv.org/abs/1812.07248v3
1,7,1808.09333v2,Bridging Knowledge Gaps in Neural Entailment via Symbolic Models,2018-08-28,"cs.CL, cs.AI",EMNLP 2018,0.04486726224422455,http://arxiv.org/abs/1808.09333v2
1,8,1909.03453v1,May I Check Again? -- A simple but efficient way to generate and use contextual dictionaries for Named Entity Recognition. Application to French Legal Texts,2019-09-08,cs.CL,,0.0450606644153595,http://arxiv.org/abs/1909.03453v1
2,1,2005.03191v3,ContextNet: Improving Convolutional Neural Networks for Automatic Speech Recognition with Global Context,2020-05-07,"eess.AS, cs.CL, cs.LG, cs.SD",,0.03428523615002632,http://arxiv.org/abs/2005.03191v3
2,2,1711.07128v3,Hello Edge: Keyword Spotting on Microcontrollers,2017-11-20,"cs.SD, cs.CL, cs.LG, cs.NE, eess.AS",,0.03663349896669388,http://arxiv.org/abs/1711.07128v3
2,3,2006.03463v2,Sponge Examples: Energy-Latency Attacks on Neural Networks,2020-06-05,"cs.LG, cs.CL, cs.CR, stat.ML",,0.03817834332585335,http://arxiv.org/abs/2006.03463v2
2,4,1804.10188v7,Modeling Psychotherapy Dialogues with Kernelized Hashcode Representations: A Nonparametric Information-Theoretic Approach,2018-04-27,"cs.LG, cs.AI, cs.CL, cs.IT, stat.ML",,0.04373358190059662,http://arxiv.org/abs/1804.10188v7
2,5,1708.05682v1,An Improved Residual LSTM Architecture for Acoustic Modeling,2017-08-17,"cs.CL, cs.AI, cs.SD",,0.04834111034870148,http://arxiv.org/abs/1708.05682v1
2,6,1801.00102v2,"Compare, Compress and Propagate: Enhancing Neural Architectures with Alignment Factorization for Natural Language Inference",2017-12-30,"cs.CL, cs.AI",EMNLP 2018,0.04902086779475212,http://arxiv.org/abs/1801.00102v2
2,7,1710.09026v2,Trace norm regularization and faster inference for embedded speech recognition RNNs,2017-10-25,"cs.LG, cs.CL, eess.AS, stat.ML",ICLR 2018,0.05219445005059242,http://arxiv.org/abs/1710.09026v2
2,8,1902.07821v1,Deep Speaker Embedding Learning with Multi-Level Pooling for Text-Independent Speaker Verification,2019-02-21,"cs.CL, cs.SD, eess.AS",,0.052430249750614166,http://arxiv.org/abs/1902.07821v1
3,1,1803.09845v1,Neural Baby Talk,2018-03-27,"cs.CV, cs.CL",CVPR 2018,0.032407552003860474,http://arxiv.org/abs/1803.09845v1
3,2,1707.08588v1,Self-organized Hierarchical Softmax,2017-07-27,"cs.CL, cs.LG",,0.03439564257860184,http://arxiv.org/abs/1707.08588v1
3,3,1709.05631v2,Unwritten Languages Demand Attention Too! Word Discovery with Encoder-Decoder Models,2017-09-17,cs.CL,,0.03861468285322189,http://arxiv.org/abs/1709.05631v2
3,4,2003.09024v1,Techniques for Vocabulary Expansion in Hybrid Speech Recognition Systems,2020-03-20,"cs.CL, cs.LG",,0.04217395931482315,http://arxiv.org/abs/2003.09024v1
3,5,2004.12934v1,SCDE: Sentence Cloze Dataset with High Quality Distractors From Examinations,2020-04-28,cs.CL,ACL2020,0.0422569178044796,http://arxiv.org/abs/2004.12934v1
3,6,1807.03658v1,Video Captioning with Boundary-aware Hierarchical Language Decoding and Joint Video Prediction,2018-07-08,"cs.CV, cs.CL",,0.04671807587146759,http://arxiv.org/abs/1807.03658v1
3,7,1812.02627v1,Relevant Word Order Vectorization for Improved Natural Language Processing in Electronic Healthcare Records,2018-12-07,"cs.CL, cs.CY",,0.052887484431266785,http://arxiv.org/abs/1812.02627v1
3,8,1908.00358v3,Dolphin: A Spoken Language Proficiency Assessment System for Elementary Education,2019-08-01,"cs.CL, cs.LG",,0.05381159856915474,http://arxiv.org/abs/1908.00358v3
4,1,2006.00593v2,BPGC at SemEval-2020 Task 11: Propaganda Detection in News Articles with Multi-Granularity Knowledge Sharing and Linguistic Features based Ensemble Learning,2020-06-01,cs.CL,,0.037219855934381485,http://arxiv.org/abs/2006.00593v2
4,2,2006.01038v3,DocBank: A Benchmark Dataset for Document Layout Analysis,2020-06-02,cs.CL,COLING 2020,0.04547929763793945,http://arxiv.org/abs/2006.01038v3
4,3,2001.02731v1,SirenLess: reveal the intention behind news,2020-01-09,"cs.HC, cs.CL",,0.04754216969013214,http://arxiv.org/abs/2001.02731v1
4,4,1908.07912v1,It Takes Nine to Smell a Rat: Neural Multi-Task Learning for Check-Worthiness Prediction,2019-08-20,"cs.CL, cs.AI",,0.049402736127376556,http://arxiv.org/abs/1908.07912v1
4,5,2001.04346v1,Asymmetrical Hierarchical Networks with Attentive Interactions for Interpretable Review-Based Recommendation,2019-12-19,"cs.IR, cs.CL",,0.05163942277431488,http://arxiv.org/abs/2001.04346v1
4,6,1804.07828v2,A Multi-Axis Annotation Scheme for Event Temporal Relations,2018-04-21,cs.CL,,0.05341041088104248,http://arxiv.org/abs/1804.07828v2
4,7,1905.12713v1,Geolocating Political Events in Text,2019-05-30,cs.CL,NAACL 2019,0.05633902922272682,http://arxiv.org/abs/1905.12713v1
4,8,1907.08971v2,Are You Convinced? Choosing the More Convincing Evidence with a Siamese Network,2019-07-21,"cs.LG, cs.CL, stat.ML",ACL 2019,0.056410133838653564,http://arxiv.org/abs/1907.08971v2
5,1,1903.07785v1,Cloze-driven Pretraining of Self-attention Networks,2019-03-19,cs.CL,,0.029210185632109642,http://arxiv.org/abs/1903.07785v1
5,2,1810.00660v1,Attention-based Encoder-Decoder Networks for Spelling and Grammatical Error Correction,2018-09-22,"cs.CL, cs.AI",,0.030558757483959198,http://arxiv.org/abs/1810.00660v1
5,3,1908.05731v1,Simple and Effective Noisy Channel Modeling for Neural Machine Translation,2019-08-16,cs.CL,EMNLP 2019,0.03491002321243286,http://arxiv.org/abs/1908.05731v1
5,4,1905.08836v1,Sample Efficient Text Summarization Using a Single Pre-Trained Transformer,2019-05-22,cs.CL,,0.03657356649637222,http://arxiv.org/abs/1905.08836v1
5,5,2004.02199v1,Understanding Learning Dynamics for Neural Machine Translation,2020-04-05,"cs.CL, cs.LG",,0.04037044569849968,http://arxiv.org/abs/2004.02199v1
5,6,1908.11782v1,Latent Part-of-Speech Sequences for Neural Machine Translation,2019-08-30,"cs.AI, cs.CL",EMNLP 2019,0.042742107063531876,http://arxiv.org/abs/1908.11782v1
5,7,2006.08344v1,Wat zei je? Detecting Out-of-Distribution Translations with Variational Transformers,2020-06-09,"cs.CL, cs.LG, stat.ML",,0.04658249020576477,http://arxiv.org/abs/2006.08344v1
5,8,1911.03090v1,What Would Elsa Do? Freezing Layers During Transformer Fine-Tuning,2019-11-08,cs.CL,,0.048712413758039474,http://arxiv.org/abs/1911.03090v1
