id,title,publish_date,cluster_id,pca_x,pca_y,author_count,category_count,categories_joined,authors_joined,keywords_joined,top_conference,url
1706.04389v1,Fine-grained human evaluation of neural versus phrase-based machine translation,2017-06-14,5,0.12630358,0.094004534,3,1,cs.CL,Filip Klubička | Antonio Toral | Víctor M. Sánchez-Cartagena,finegrained | human | evaluation | neural | versus | phrasebased | machine | translation | compare | three | approaches | statistical | pure | factored | performing | manual | via | error | annotation | systems,,http://arxiv.org/abs/1706.04389v1
1706.04560v3,Neural Models for Key Phrase Detection and Question Generation,2017-06-15,3,-0.08048451,0.0057905284,6,3,cs.CL | cs.AI | cs.NE,Sandeep Subramanian | Tong Wang | Xingdi Yuan | Saizheng Zhang | Yoshua Bengio | Adam Trischler,neural | models | key | phrase | detection | question | generation | propose | twostage | model | tackle | documents | first | estimates | probability | word | sequences | document | ones | human,ACL 2018,http://arxiv.org/abs/1706.04560v3
1706.06363v1,Improving text classification with vectors of reduced precision,2017-06-20,2,0.06731714,-0.03756268,5,1,cs.CL,Krzysztof Wróbel | Maciej Wielgosz | Marcin Pietroń | Michał Karwatowski | Aleksander Smywiński-Pohl,improving | text | classification | vectors | reduced | precision | paper | presents | analysis | impact | floatingpoint | number | reduction | quality | representing | data | eg | tfidf | representation | case,,http://arxiv.org/abs/1706.06363v1
1706.07913v1,Semi-supervised Text Categorization Using Recursive K-means Clustering,2017-06-24,2,-0.0043581785,-0.10992546,4,3,cs.LG | cs.CL | cs.IR,Harsha S. Gowda | Mahamad Suhil | D. S. Guru | Lavanya Narayana Raju,semisupervised | text | categorization | using | recursive | kmeans | clustering | paper | present | learning | algorithm | classification | documents | method | labeling | unlabeled | presented | based | principle | divide,,http://arxiv.org/abs/1706.07913v1
1706.09254v2,The E2E Dataset: New Challenges For End-to-End Generation,2017-06-28,3,0.0062225536,0.063755006,3,1,cs.CL,Jekaterina Novikova | Ondřej Dušek | Verena Rieser,ee | dataset | new | challenges | endtoend | generation | paper | describes | data | training | datadriven | natural | language | systems | restaurant | domain | ten | times | bigger | existing,,http://arxiv.org/abs/1706.09254v2
1707.01183v1,Complexity Metric for Code-Mixed Social Media Text,2017-07-05,4,-0.13404268,0.051231094,3,2,cs.CL | cs.SI,Souvick Ghosh | Satanu Ghosh | Dipankar Das,complexity | metric | codemixed | social | media | text | evaluation | absolute | necessity | measuring | performance | system | data | paper | discussed | determine | level | texts | growing | rapidly,,http://arxiv.org/abs/1707.01183v1
1707.02892v1,A Generalized Recurrent Neural Architecture for Text Classification with Multi-Task Learning,2017-07-10,1,0.034783773,-0.15139747,4,1,cs.CL,Honglun Zhang | Liqiang Xiao | Yongkun Wang | Yaohui Jin,generalized | recurrent | neural | architecture | text | classification | multitask | learning | leverages | potential | correlations | among | related | tasks | extract | common | features | yield | performance | gains,,http://arxiv.org/abs/1707.02892v1
1707.03017v5,Learning Visual Reasoning Without Strong Priors,2017-07-11,0,0.060997423,0.0032435227,5,4,cs.CV | cs.AI | cs.CL | stat.ML,Ethan Perez | Harm de Vries | Florian Strub | Vincent Dumoulin | Aaron Courville,learning | visual | reasoning | without | strong | priors | achieving | artificial | ability | answer | imagerelated | questions | require | multistep | highlevel | process | important | step | towards | general,AAAI 2018,http://arxiv.org/abs/1707.03017v5
1707.03819v1,A Critique of a Critique of Word Similarity Datasets: Sanity Check or Unnecessary Confusion?,2017-07-12,4,-0.16716528,0.090937704,1,1,cs.CL,Minh Le,critique | word | similarity | datasets | sanity | check | unnecessary | confusion | critical | evaluation | important | computational | lexical | semantics | short | report | concerns | proposed | batchkarov | et,,http://arxiv.org/abs/1707.03819v1
1707.05114v1,Towards Bidirectional Hierarchical Representations for Attention-Based Neural Machine Translation,2017-07-17,5,0.16331877,-0.06894182,5,1,cs.CL,Baosong Yang | Derek F. Wong | Tong Xiao | Lidia S. Chao | Jingbo Zhu,towards | bidirectional | hierarchical | representations | attentionbased | neural | machine | translation | paper | proposes | attentional | model | focuses | enhancing | sourceside | covering | local | global | semantic | information,EMNLP 2017,http://arxiv.org/abs/1707.05114v1
1707.05118v1,LIG-CRIStAL System for the WMT17 Automatic Post-Editing Task,2017-07-17,5,0.011670851,0.03911308,3,1,cs.CL,Alexandre Berard | Olivier Pietquin | Laurent Besacier,ligcristal | system | wmt | automatic | postediting | task | paper | presents | submission | shared | post | editing | propose | two | neural | models | monosource | model | taskspecific | attention,,http://arxiv.org/abs/1707.05118v1
1707.06130v1,Improving Language Modeling using Densely Connected Recurrent Neural Networks,2017-07-19,2,0.13742703,-0.12899652,3,1,cs.CL,Fréderic Godin | Joni Dambre | Wesley De Neve,improving | language | modeling | using | densely | connected | recurrent | neural | networks | paper | introduce | novel | concept | layers | evaluate | proposed | architecture | penn | treebank | task,ACL2017,http://arxiv.org/abs/1707.06130v1
1707.06167v1,Sentence-level quality estimation by predicting HTER as a multi-component metric,2017-07-19,5,0.03206814,0.046432678,1,1,cs.CL,Eleftherios Avramidis,sentencelevel | quality | estimation | predicting | hter | multicomponent | metric | submission | investigates | alternative | machine | learning | models | score | sentence | level | instead | directly | suggest | model,,http://arxiv.org/abs/1707.06167v1
1707.06195v1,Fast and Accurate OOV Decoder on High-Level Features,2017-07-20,2,0.099550806,0.11635738,4,1,cs.CL,Yuri Khokhlov | Natalia Tomashenko | Ivan Medennikov | Alexei Romanenko,fast | accurate | oov | decoder | highlevel | features | work | proposes | novel | approach | outofvocabulary | keyword | search | kws | task | proposed | based | using | automatic | speech,,http://arxiv.org/abs/1707.06195v1
1707.07278v1,Fine Grained Citation Span for References in Wikipedia,2017-07-23,4,-0.25458407,-0.118260905,3,1,cs.CL,Besnik Fetahu | Katja Markert | Avishek Anand,fine | grained | citation | span | references | wikipedia | emphverifiability | one | core | editing | principles | editors | encouraged | provide | citations | added | content | article | determining | emphcitation,,http://arxiv.org/abs/1707.07278v1
1707.07331v1,Rule-Based Spanish Morphological Analyzer Built From Spell Checking Lexicon,2017-07-24,3,-0.063429624,0.08933263,1,1,cs.CL,Natalie Ahn,rulebased | spanish | morphological | analyzer | built | spell | checking | lexicon | preprocessing | tools | automated | text | analysis | become | widely | available | major | languages | nonenglish | often,,http://arxiv.org/abs/1707.07331v1
1707.07585v1,Stock Prediction: a method based on extraction of news features and recurrent neural networks,2017-07-19,2,-0.052013375,-0.045105245,3,4,q-fin.ST | cs.CL | cs.IR | cs.LG,Zeya Zhang | Weizheng Chen | Hongfei Yan,stock | prediction | method | based | extraction | news | features | recurrent | neural | networks | paper | proposed | terms | feature | extract | stockrelated | besides | prices | first | select,,http://arxiv.org/abs/1707.07585v1
1707.07930v1,Structural Regularities in Text-based Entity Vector Spaces,2017-07-25,1,-0.095863655,-0.22684258,3,3,cs.IR | cs.AI | cs.CL,Christophe Van Gysel | Maarten de Rijke | Evangelos Kanoulas,structural | regularities | textbased | entity | vector | spaces | retrieval | task | finding | entities | people | products | response | query | based | solely | textual | documents | associated | recent,,http://arxiv.org/abs/1707.07930v1
1707.08081v2,Learning Word Relatedness over Time,2017-07-26,1,-0.12899248,-0.07319294,3,1,cs.CL,Guy D. Rosin | Eytan Adar | Kira Radinsky,learning | word | relatedness | time | search | systems | often | focused | providing | relevant | results | assuming | corpora | user | needs | focus | present | however | many | today,EMNLP 2017,http://arxiv.org/abs/1707.08081v2
1707.08588v1,Self-organized Hierarchical Softmax,2017-07-27,3,0.08566447,-0.039236657,4,2,cs.CL | cs.LG,Yikang Shen | Shawn Tan | Chrisopher Pal | Aaron Courville,selforganized | hierarchical | softmax | propose | new | selforganizing | formulation | neuralnetworkbased | language | models | large | vocabularies | instead | using | predefined | structure | approach | capable | learning | word,,http://arxiv.org/abs/1707.08588v1
1707.08660v1,Temporal dynamics of semantic relations in word embeddings: an application to predicting armed conflict participants,2017-07-27,3,-0.039030716,-0.040781584,3,1,cs.CL,Andrey Kutuzov | Erik Velldal | Lilja Øvrelid,temporal | dynamics | semantic | relations | word | embeddings | application | predicting | armed | conflict | participants | paper | deals | using | embedding | models | trace | pairs | words | setup,EMNLP 2017,http://arxiv.org/abs/1707.08660v1
1707.09448v1,Sentiment Analysis on Financial News Headlines using Training Dataset Augmentation,2017-07-29,4,-0.070973985,-0.035178464,2,1,cs.CL,Vineet John | Olga Vechtomova,sentiment | analysis | financial | news | headlines | using | training | dataset | augmentation | paper | discusses | approach | taken | uwaterloo | team | arrive | solution | finegrained | problem | posed,,http://arxiv.org/abs/1707.09448v1
1708.00481v1,A Lightweight Front-end Tool for Interactive Entity Population,2017-08-02,1,-0.14812785,-0.03857241,4,2,cs.CL | cs.IR,Hidekazu Oiwa | Yoshihiko Suhara | Jiyu Komiya | Andrei Lopatenko,lightweight | frontend | tool | interactive | entity | population | task | collecting | entities | belong | particular | category | attracted | attention | vertical | domains | still | high | demand | creating,,http://arxiv.org/abs/1708.00481v1
1708.00781v1,Dynamic Entity Representations in Neural Language Models,2017-08-02,1,-0.054311562,-0.14479919,5,2,cs.CL | cs.LG,Yangfeng Ji | Chenhao Tan | Sebastian Martschat | Yejin Choi | Noah A. Smith,dynamic | entity | representations | neural | language | models | understanding | long | document | requires | tracking | entities | introduced | evolve | time | present | new | type | model | entitynlm,EMNLP 2017,http://arxiv.org/abs/1708.00781v1
1708.01464v1,Massively Multilingual Neural Grapheme-to-Phoneme Conversion,2017-08-04,0,0.17852682,0.09179701,3,1,cs.CL,Ben Peters | Jon Dehdari | Josef van Genabith,massively | multilingual | neural | graphemetophoneme | conversion | gp | necessary | texttospeech | automatic | speech | recognition | systems | monolingual | require | languagespecific | data | handcrafting | rules | difficult | extend,EMNLP 2017,http://arxiv.org/abs/1708.01464v1
1708.03052v1,Communication-Free Parallel Supervised Topic Models,2017-08-10,0,0.103775226,-0.026469009,2,4,cs.LG | cs.CL | cs.IR | stat.ML,Lee Gao | Ronghuo Zheng,communicationfree | parallel | supervised | topic | models | embarrassingly | markov | chain | monte | carlo | mcmc | methods | commonly | used | learning | graphical | however | directly | applied | quasiergodicity,,http://arxiv.org/abs/1708.03052v1
