term,doc_count
text,7137
generation,6124
llms,5185
reasoning,5167
llm,5090
knowledge,4959
speech,4587
detection,3912
translation,3638
machine,3213
context,2994
question,2937
recognition,2912
retrieval,2901
multimodal,2799
classification,2672
dataset,2669
multilingual,2654
understanding,2486
answering,2473
domain,2465
self,2395
extraction,2368
semantic,2358
question answering,2346
graph,2342
cross,2335
aware,2302
natural,2267
ai,2165
attention,2149
shot,2115
machine translation,2112
word,2029
dialogue,1979
information,1976
modeling,1947
entity,1821
transformer,1800
embeddings,1707
level,1706
alignment,1701
augmented,1682
deep,1669
sentiment,1659
summarization,1643
long,1641
agent,1618
enhancing,1570
automatic,1568
visual,1568
social,1555
agents,1547
languages,1530
vision,1481
resource,1476
inference,1447
bias,1426
supervised,1411
prompt,1402
networks,1398
representation,1390
document,1375
generative,1339
representations,1332
prediction,1330
zero,1322
speech recognition,1270
network,1248
lingual,1229
transfer,1225
bert,1200
medical,1185
case,1182
zero shot,1166
transformers,1158
adaptive,1155
guided,1155
reinforcement,1147
exploring,1141
conversational,1139
end,1131
cross lingual,1130
optimization,1128
image,1123
sentence,1122
embedding,1116
retrieval augmented,1116
corpus,1100
robust,1099
adversarial,1085
enhanced,1076
unsupervised,1075
end end,1073
news,1071
relation,1046
processing,1044
nlp,1040
benchmarking,1036
driven,1029
automated,1026
chinese,1020
search,1020
contrastive,1013
media,993
adaptation,988
instruction,988
clinical,983
dynamic,980
decoding,971
performance,969
leveraging,961
augmentation,947
english,917
generated,915
sequence,906
memory,905
emotion,900
distillation,899
knowledge graph,897
modal,883
hierarchical,878
quality,862
structured,859
text classification,859
social media,851
linguistic,834
text generation,834
named,829
scaling,811
parsing,787
scientific,784
selection,781
unified,780
named entity,772
comprehensive,770
prompting,765
entity recognition,752
augmented generation,750
detecting,749
topic,742
oriented,741
free,740
online,736
identification,735
token,733
chain,731
asr,728
non,727
grained,723
user,718
generating,715
retrieval augmented generation,714
event,706
graphs,700
synthetic,695
content,692
research,692
thought,687
named entity recognition,684
